id_match,team_name,home_team?
match112,Atlético de Madrid,True
match112,Athletic Club,False
match113,Getafe CF,True
match113,Valencia CF,False
match114,Girona FC,True
match114,CD Leganés,False
match115,R. Valladolid CF,True
match115,SD Eibar,False
match116,D. Alavés,True
match116,SD Huesca,False
match117,FC Barcelona,True
match117,Real Betis,False
match118,RC Celta,True
match118,Real Madrid,False
match119,Sevilla FC,True
match119,RCD Espanyol,False
match120,Rayo Vallecano,True
match120,Villarreal CF,False
match121,CD Leganés,True
match121,D. Alavés,False
match122,Atlético de Madrid,True
match122,FC Barcelona,False
match123,SD Eibar,True
match123,Real Madrid,False
match124,SD Huesca,True
match124,Levante UD,False
match125,Valencia CF,True
match125,Rayo Vallecano,False
match126,Athletic Club,True
match126,Getafe CF,False
match127,RCD Espanyol,True
match127,Girona FC,False
match128,Sevilla FC,True
match128,R. Valladolid CF,False
match129,Villarreal CF,True
match129,Real Betis,False
match130,Real Sociedad,True
match130,RC Celta,False
match131,Rayo Vallecano,True
match131,SD Eibar,False
match132,RC Celta,True
match132,SD Huesca,False
match133,Getafe CF,True
match133,RCD Espanyol,False
match134,Real Madrid,True
match134,Valencia CF,False
match135,R. Valladolid CF,True
match135,CD Leganés,False
match136,D. Alavés,True
match136,Sevilla FC,False
match137,FC Barcelona,True
match137,Villarreal CF,False
match138,Real Betis,True
match138,Real Sociedad,False
match139,Girona FC,True
match139,Atlético de Madrid,False
match140,Levante UD,True
match140,Athletic Club,False
match141,CD Leganés,True
match141,Getafe CF,False
match142,Atlético de Madrid,True
match142,D. Alavés,False
match143,RCD Espanyol,True
match143,FC Barcelona,False
match144,Valencia CF,True
match144,Sevilla FC,False
match145,Villarreal CF,True
match145,RC Celta,False
match146,Real Betis,True
match146,Rayo Vallecano,False
match147,SD Eibar,True
match147,Levante UD,False
match148,SD Huesca,True
match148,Real Madrid,False
match149,Real Sociedad,True
match149,R. Valladolid CF,False
match150,Athletic Club,True
match150,Girona FC,False
match151,RC Celta,True
match151,CD Leganés,False
match152,SD Eibar,True
match152,Valencia CF,False
match153,Getafe CF,True
match153,Real Sociedad,False
match154,Real Madrid,True
match154,Rayo Vallecano,False
match155,R. Valladolid CF,True
match155,Atlético de Madrid,False
match156,RCD Espanyol,True
match156,Real Betis,False
match157,SD Huesca,True
match157,Villarreal CF,False
match158,Levante UD,True
match158,FC Barcelona,False
match159,Sevilla FC,True
match159,Girona FC,False
match160,D. Alavés,True
match160,Athletic Club,False
match161,Girona FC,True
match161,Getafe CF,False
match162,Real Sociedad,True
match162,D. Alavés,False
match163,Athletic Club,True
match163,R. Valladolid CF,False
match164,Atlético de Madrid,True
match164,RCD Espanyol,False
match165,FC Barcelona,True
match165,RC Celta,False
match166,Real Betis,True
match166,SD Eibar,False
match167,CD Leganés,True
match167,Sevilla FC,False
match168,Valencia CF,True
match168,SD Huesca,False
match169,Rayo Vallecano,True
match169,Levante UD,False
match170,Villarreal CF,True
match170,Real Madrid,False
match171,RCD Espanyol,True
match171,CD Leganés,False
match172,Levante UD,True
match172,Girona FC,False
match173,D. Alavés,True
match173,Valencia CF,False
match174,SD Huesca,True
match174,Real Betis,False
match175,R. Valladolid CF,True
match175,Rayo Vallecano,False
match176,SD Eibar,True
match176,Villarreal CF,False
match177,Getafe CF,True
match177,FC Barcelona,False
match178,Real Madrid,True
match178,Real Sociedad,False
match179,Sevilla FC,True
match179,Atlético de Madrid,False
match180,RC Celta,True
match180,Athletic Club,False
match181,Rayo Vallecano,True
match181,RC Celta,False
match182,Girona FC,True
match182,D. Alavés,False
match183,CD Leganés,True
match183,SD Huesca,False
match184,Valencia CF,True
match184,R. Valladolid CF,False
match185,Villarreal CF,True
match185,Getafe CF,False
match186,Athletic Club,True
match186,Sevilla FC,False
match187,Atlético de Madrid,True
match187,Levante UD,False
match188,FC Barcelona,True
match188,SD Eibar,False
match189,Real Betis,True
match189,Real Madrid,False
match190,Real Sociedad,True
match190,RCD Espanyol,False
match191,Getafe CF,True
match191,D. Alavés,False
match192,RC Celta,True
match192,Valencia CF,False
match193,SD Huesca,True
match193,Atlético de Madrid,False
match194,Real Madrid,True
match194,Sevilla FC,False
match195,FC Barcelona,True
match195,CD Leganés,False
match196,Real Betis,True
match196,Girona FC,False
match197,Levante UD,True
match197,R. Valladolid CF,False
match198,Rayo Vallecano,True
match198,Real Sociedad,False
match199,Villarreal CF,True
match199,Athletic Club,False
match200,SD Eibar,True
match200,RCD Espanyol,False
match201,Atlético de Madrid,True
match201,Getafe CF,False
match202,CD Leganés,True
match202,SD Eibar,False
match203,Sevilla FC,True
match203,Levante UD,False
match204,Valencia CF,True
match204,Villarreal CF,False
match205,Athletic Club,True
match205,Real Betis,False
match206,RCD Espanyol,True
match206,Real Madrid,False
match207,Girona FC,True
match207,FC Barcelona,False
match208,Real Sociedad,True
match208,SD Huesca,False
match209,R. Valladolid CF,True
match209,RC Celta,False
match210,D. Alavés,True
match210,Rayo Vallecano,False
match211,SD Huesca,True
match211,R. Valladolid CF,False
match212,FC Barcelona,True
match212,Valencia CF,False
match213,RC Celta,True
match213,Sevilla FC,False
match214,Levante UD,True
match214,Getafe CF,False
match215,Real Sociedad,True
match215,Athletic Club,False
match216,Real Betis,True
match216,Atlético de Madrid,False
match217,SD Eibar,True
match217,Girona FC,False
match218,Real Madrid,True
match218,D. Alavés,False
match219,Villarreal CF,True
match219,RCD Espanyol,False
match220,Rayo Vallecano,True
match220,CD Leganés,False
match221,R. Valladolid CF,True
match221,Villarreal CF,False
match222,Atlético de Madrid,True
match222,Real Madrid,False
match223,RCD Espanyol,True
match223,Rayo Vallecano,False
match224,Getafe CF,True
match224,RC Celta,False
match225,Girona FC,True
match225,SD Huesca,False
match226,Athletic Club,True
match226,FC Barcelona,False
match227,CD Leganés,True
match227,Real Betis,False
match228,Sevilla FC,True
match228,SD Eibar,False
match229,Valencia CF,True
match229,Real Sociedad,False
match230,D. Alavés,True
match230,Levante UD,False
match231,SD Eibar,True
match231,Getafe CF,False
match232,FC Barcelona,True
match232,R. Valladolid CF,False
match233,RC Celta,True
match233,Levante UD,False
match234,Real Sociedad,True
match234,CD Leganés,False
match235,Rayo Vallecano,True
match235,Atlético de Madrid,False
match236,Real Betis,True
match236,D. Alavés,False
match237,Real Madrid,True
match237,Girona FC,False
match238,Valencia CF,True
match238,RCD Espanyol,False
match239,Villarreal CF,True
match239,Sevilla FC,False
match240,SD Huesca,True
match240,Athletic Club,False
match241,RCD Espanyol,True
match241,SD Huesca,False
match242,D. Alavés,True
match242,RC Celta,False
match243,Athletic Club,True
match243,SD Eibar,False
match244,Getafe CF,True
match244,Rayo Vallecano,False
match245,Sevilla FC,True
match245,FC Barcelona,False
match246,Atlético de Madrid,True
match246,Villarreal CF,False
match247,CD Leganés,True
match247,Valencia CF,False
match248,Levante UD,True
match248,Real Madrid,False
match249,R. Valladolid CF,True
match249,Real Betis,False
match250,Girona FC,True
match250,Real Sociedad,False
match251,Rayo Vallecano,True
match251,Girona FC,False
match252,RCD Espanyol,True
match252,R. Valladolid CF,False
match253,SD Huesca,True
match253,Sevilla FC,False
match254,Real Madrid,True
match254,FC Barcelona,False
match255,Villarreal CF,True
match255,D. Alavés,False
match256,Real Betis,True
match256,Getafe CF,False
match257,SD Eibar,True
match257,RC Celta,False
match258,Real Sociedad,True
match258,Atlético de Madrid,False
match259,Valencia CF,True
match259,Athletic Club,False
match260,CD Leganés,True
match260,Levante UD,False
match261,Athletic Club,True
match261,RCD Espanyol,False
match262,D. Alavés,True
match262,SD Eibar,False
match263,Atlético de Madrid,True
match263,CD Leganés,False
match264,FC Barcelona,True
match264,Rayo Vallecano,False
match265,Getafe CF,True
match265,SD Huesca,False
match266,RC Celta,True
match266,Real Betis,False
match267,Girona FC,True
match267,Valencia CF,False
match268,Levante UD,True
match268,Villarreal CF,False
match269,Sevilla FC,True
match269,Real Sociedad,False
match270,R. Valladolid CF,True
match270,Real Madrid,False
match271,Real Sociedad,True
match271,Levante UD,False
match272,Athletic Club,True
match272,Atlético de Madrid,False
match273,SD Huesca,True
match273,D. Alavés,False
match274,CD Leganés,True
match274,Girona FC,False
match275,Real Madrid,True
match275,RC Celta,False
match276,Real Betis,True
match276,FC Barcelona,False
match277,SD Eibar,True
match277,R. Valladolid CF,False
match278,RCD Espanyol,True
match278,Sevilla FC,False
match279,Valencia CF,True
match279,Getafe CF,False
match280,Villarreal CF,True
