match_id,card_type,player_name, minute
match37,Yellow,Bruno González,70
match37,Yellow,Éver Banega,69
match37,Yellow,Amath Ndiaye,46
match37,Yellow,Jesús Navas,21
match37,Yellow,Vitorino Antunes,21
match37,Yellow,Djené Dakonam Ortega,19
match37,Yellow,Leandro Cabrera,16
match37,Yellow,Roque Mesa,14
match38,Yellow,Óscar Plano,87
match38,Yellow,Nacho Martínez García,50
match38,Yellow,Martín Aguirregabiria,45
match38,Yellow,Anuar Mohamed Tuhami,41
match38,Yellow,Darko Brašanac,18
match39,Yellow,Douglas Luiz,96
match39,Red,Gustavo Cabral,92
match39,Yellow,Fran Beltrán,70
match39,Yellow,Gustavo Cabral,70
match40,Yellow,David Ferreiro,91
match40,Red,Theo Hernández,82
match40,Yellow,Samuele Longo,76
match40,Red,Juanmi Jiménez,71
match40,Yellow,Juanmi Jiménez,71
match40,Yellow,Álex Gallar,65
match40,Yellow,Juan Camilo Hernández Suárez,46
match40,Yellow,Luís Carlos Correia Pinto,43
match40,Yellow,Rubén Pardo,23
match41,Yellow,David Juncà Reñé,49
match41,Yellow,Facundo Roncaglia,42
match41,Yellow,Duje Čop,25
match41,Yellow,Rubén Alcaraz,20
match42,Yellow,Gerard Gumbau,67
match42,Yellow,Gonzalo Escalante,24
match43,Yellow,Juanfran Torres,84
match43,Yellow,Saúl Ñíguez,82
match43,Red,Iván Alejo,67
match43,Yellow,Damián Suárez,56
match44,Yellow,Casemiro,77
match44,Yellow,Javier López Rodríguez,47
match44,Yellow,Marc Roca,26
match44,Yellow,Nacho Fernández Iglesias,6
match45,Yellow,Giannelli Imbula,94
match45,Yellow,Martín Aguirregabiria,83
match45,Red,Abdoulaye Ba,35
match45,Yellow,Rubén Duarte,23
match46,Yellow,Gerard Piqué,81
match46,Yellow,Portu,69
match46,Yellow,Pedro Alcalá Guirado,68
match46,Yellow,Juanpe Ramírez,61
match46,Yellow,Bernardo Espinosa,39
match46,Red,Clément Lenglet,35
match46,Yellow,Cristhian Stuani,16
match46,Yellow,Arthur Melo,15
match46,Yellow,Nélson Semedo,12
match47,Yellow,Unai Simón,93
match47,Yellow,Iñigo Martínez,87
match47,Yellow,Sidnei Rechel da Silva Junior,70
match47,Yellow,Sergio Canales,53
match47,Yellow,Yuri Berchiche,50
match47,Yellow,Beñat Etxebarria,46
match47,Red,Markel Susaeta,45
match47,Yellow,Yeray Álvarez,40
match47,Yellow,Markel Susaeta,38
match48,Yellow,Aleix Vidal,62
match48,Yellow,Sergio Postigo Redondo,20
match49,Yellow,Mario Gaspar,90
match49,Yellow,Ramiro Funes Mori,84
match49,Yellow,Miguel Layún,63
match49,Red,Dani Parejo,58
match49,Yellow,Jaume Costa,38
match49,Yellow,Mouctar Diakhaby,22
match50,Yellow,Damián Musto,67
match50,Yellow,Rúben Semedo,47
match51,Yellow,Pedro Bigas,74
match51,Yellow,Joan Jordán,66
match51,Yellow,Léo Baptistão,60
match51,Yellow,Sergio García de la Fuente,25
match52,Yellow,Óscar Trejo,91
